action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,38,46678.16,long,0.18672510055233593,8724.708828426452,100,8.724708828426452,2022-01-03 16:00:00,8715.984119598026,0.18672510055233593,0.0
sell,38,46362.47,long,0.18672510055233593,8724.708828426452,100,8.656977866351411,2022-01-04 10:00:00,8648.320888485061,0.0,0.0
sell,39,46362.47,short,0.18653710400858842,8648.320888485061,100,0.0001865371040085884,2022-01-04 10:00:00,8648.320888485061,0.0,0.18653710400858842
buy,39,46265.65,short,0.18653710400858842,8648.320888485061,100,8.666381410895173,2022-01-04 21:00:00,8657.715029484278,0.0,0.0
buy,40,46265.65,long,0.18694338703670638,8657.715029484278,100,8.657715029484278,2022-01-04 21:00:00,8649.057314454794,0.18694338703670638,0.0
sell,40,46413.73,long,0.18694338703670638,8657.715029484278,100,8.67676760149423,2022-01-05 08:00:00,8668.090833892737,0.0,0.0
sell,41,46413.73,short,0.18675704008044033,8668.090833892737,100,0.00018675704008044034,2022-01-05 08:00:00,8668.090833892737,0.0,0.18675704008044033
buy,41,46301.12,short,0.18675704008044033,8668.090833892737,100,8.689121544176194,2022-01-05 17:00:00,8680.432422632019,0.0,0.0
buy,42,46301.12,long,0.1872903288345808,8680.432422632019,100,8.680432422632018,2022-01-05 17:00:00,8671.751990209386,0.1872903288345808,0.0
sell,42,43434.68,long,0.1872903288345808,8680.432422632019,100,8.134358106140722,2022-01-06 20:00:00,8126.22374803458,0.0,0.0
sell,43,43434.68,short,0.18709067841721364,8126.22374803458,100,0.00018709067841721363,2022-01-06 20:00:00,8126.22374803458,0.0,0.18709067841721364
buy,43,42780.0,short,0.18709067841721364,8126.22374803458,100,8.248708273380762,2022-01-07 03:00:00,8240.459565107381,0.0,0.0
buy,44,42780.0,long,0.19243148914311065,8240.459565107381,100,8.24045956510738,2022-01-07 03:00:00,8232.219105542274,0.19243148914311065,0.0
sell,44,41970.5,long,0.19243148914311065,8240.459565107381,100,8.076289885861245,2022-01-08 06:00:00,8068.213595975383,0.0,0.0
sell,45,41970.5,short,0.1922353461592162,8068.213595975383,100,0.0001922353461592162,2022-01-08 06:00:00,8068.213595975383,0.0,0.1922353461592162
buy,45,41594.27,short,0.1922353461592162,8068.213595975383,100,8.140538300260866,2022-01-08 16:00:00,8132.397761960605,0.0,0.0
buy,46,41594.27,long,0.19532174417771114,8132.397761960605,100,8.132397761960606,2022-01-08 16:00:00,8124.265364198644,0.19532174417771114,0.0
sell,46,41817.86,long,0.19532174417771114,8132.397761960605,100,8.167981068683826,2022-01-09 02:00:00,8159.813087615142,0.0,0.0
sell,47,41817.86,short,0.1951274667717368,8159.813087615142,100,0.0001951274667717368,2022-01-09 02:00:00,8159.813087615142,0.0,0.1951274667717368
buy,47,41479.63,short,0.1951274667717368,8159.813087615142,100,8.225811050701346,2022-01-09 14:00:00,8217.585239650645,0.0,0.0
buy,48,41479.63,long,0.19791323245677445,8217.585239650645,100,8.217585239650646,2022-01-09 14:00:00,8209.367654410995,0.19791323245677445,0.0
sell,48,42093.87,long,0.19791323245677445,8217.585239650645,100,8.331055566227063,2022-01-09 18:00:00,8322.724510660835,0.0,0.0
sell,49,42093.87,short,0.19771820720358652,8322.724510660835,100,0.00019771820720358653,2022-01-09 18:00:00,8322.724510660835,0.0,0.19771820720358652
buy,49,42183.84,short,0.19771820720358652,8322.724510660835,100,8.304935803558731,2022-01-10 05:00:00,8296.630867755171,0.0,0.0
buy,50,42183.84,long,0.19648126478972558,8296.630867755171,100,8.296630867755171,2022-01-10 05:00:00,8288.334236887416,0.19648126478972558,0.0
sell,50,41952.81,long,0.19648126478972558,8296.630867755171,100,8.242895731777937,2022-01-10 07:00:00,8234.652836046158,0.0,0.0
sell,51,41952.81,short,0.19628370152192806,8234.652836046158,100,0.00019628370152192806,2022-01-10 07:00:00,8234.652836046158,0.0,0.19628370152192806
buy,51,41818.2,short,0.19628370152192806,8234.652836046158,100,8.261074585108025,2022-01-10 09:00:00,8252.813510522916,0.0,0.0
buy,52,41818.2,long,0.19715245268836043,8252.813510522916,100,8.252813510522916,2022-01-10 09:00:00,8244.560697012394,0.19715245268836043,0.0
sell,52,41844.31,long,0.19715245268836043,8252.813510522916,100,8.249713500355428,2022-01-11 00:00:00,8241.463786855073,0.0,0.0
sell,53,41844.31,short,0.1969554232548003,8241.463786855073,100,0.0001969554232548003,2022-01-11 00:00:00,8241.463786855073,0.0,0.1969554232548003
buy,53,41717.55,short,0.1969554232548003,8241.463786855073,100,8.26642985630685,2022-01-11 14:00:00,8258.163426450543,0.0,0.0
buy,54,41717.55,long,0.19775622640888768,8258.163426450543,100,8.258163426450542,2022-01-11 14:00:00,8249.905263024093,0.19775622640888768,0.0
sell,54,42726.65,long,0.19775622640888768,8258.163426450543,100,8.449660826656935,2022-01-11 17:00:00,8441.211165830278,0.0,0.0
sell,55,42726.65,short,0.1975631407056317,8441.211165830278,100,0.00019756314070563168,2022-01-11 17:00:00,8441.211165830278,0.0,0.1975631407056317
buy,55,43705.85,short,0.1975631407056317,8441.211165830278,100,8.247757338451324,2022-01-13 06:00:00,8239.509581112872,0.0,0.0
buy,56,43705.85,long,0.18833337119703103,8239.509581112872,100,8.239509581112872,2022-01-13 06:00:00,8231.270071531759,0.18833337119703103,0.0
sell,56,43874.46,long,0.18833337119703103,8239.509581112872,100,8.263056747925685,2022-01-13 10:00:00,8254.793691177758,0.0,0.0
sell,57,43874.46,short,0.1881457615929121,8254.793691177758,100,0.0001881457615929121,2022-01-13 10:00:00,8254.793691177758,0.0,0.1881457615929121
buy,57,43233.99,short,0.1881457615929121,8254.793691177758,100,8.37529540710517,2022-01-13 16:00:00,8366.920111698064,0.0,0.0
buy,58,43233.99,long,0.1933329121736478,8366.920111698064,100,8.366920111698064,2022-01-13 16:00:00,8358.553191586367,0.1933329121736478,0.0
sell,58,43219.89,long,0.1933329121736478,8366.920111698064,100,8.355824468801933,2022-01-14 17:00:00,8347.468644333132,0.0,0.0
sell,59,43219.89,short,0.19313951618879946,8347.468644333132,100,0.00019313951618879946,2022-01-14 17:00:00,8347.468644333132,0.0,0.19313951618879946
buy,59,43111.7,short,0.19313951618879946,8347.468644333132,100,8.3683644085896,2022-01-15 08:00:00,8359.996044181009,0.0,0.0
buy,60,43111.7,long,0.19372087039334632,8359.996044181009,100,8.35999604418101,2022-01-15 08:00:00,8351.636048136828,0.19372087039334632,0.0
