unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1.67953E+12,23/03/2023 00:00,BTC/EUR,25147.61,26468.29,25020.03,26170.08,6.12353133,160253.3048
1.67944E+12,22/03/2023 00:00,BTC/EUR,26144.73,26732.39,24597.27,25147.61,6.78442713,170612.1275
1.67936E+12,21/03/2023 00:00,BTC/EUR,25800.15,26416.79,25599.75,26144.73,5.01050565,130998.3174
1.67927E+12,20/03/2023 00:00,BTC/EUR,26154.96,26898.8,25514.24,25800.15,2.2197762,57270.55893
1.67918E+12,19/03/2023 00:00,BTC/EUR,25215.2,26808.92,25176.08,26154.96,1.10848779,28992.45381
1.6791E+12,18/03/2023 00:00,BTC/EUR,25575.17,25954.59,24326.25,25215.2,1.32719823,33465.56881
1.67901E+12,17/03/2023 00:00,BTC/EUR,23550.21,26000,23494.26,25575.17,3.55815724,91000.4763
1.67892E+12,16/03/2023 00:00,BTC/EUR,22877.38,23665.09,21694.67,23550.21,6.72986626,158489.7637
1.67884E+12,15/03/2023 00:00,BTC/EUR,22835.24,23610.62,22099.02,22877.38,2.44833187,56011.41856
1.67875E+12,14/03/2023 00:00,BTC/EUR,22430.86,24540.05,21614.69,22835.24,5.91722617,135121.2797
1.67867E+12,13/03/2023 00:00,BTC/EUR,20629.01,22639.2,20534.82,22430.86,11.07237388,248362.8684
1.67858E+12,12/03/2023 00:00,BTC/EUR,19386.3,20629.01,19189.22,20629.01,4.18045604,86238.66945
1.67849E+12,11/03/2023 00:00,BTC/EUR,18969.22,19959.19,18000,19386.3,3.23980957,62807.92027
1.67841E+12,10/03/2023 00:00,BTC/EUR,19089.23,19674.81,18000,18969.22,12.03721566,228336.592
1.67832E+12,09/03/2023 00:00,BTC/EUR,20592.72,20718.87,19000,19089.23,29.65225267,566038.6712
1.67823E+12,08/03/2023 00:00,BTC/EUR,21080.04,21148.47,20525.5,20592.72,4.15651332,85593.91498
1.67815E+12,07/03/2023 00:00,BTC/EUR,21105.03,21217.97,20797.93,21080.04,3.84079799,80964.17526
1.67806E+12,06/03/2023 00:00,BTC/EUR,21186.18,21226.32,20985.42,21105.03,11.22417466,236886.5429
1.67797E+12,05/03/2023 00:00,BTC/EUR,21094.16,21405.72,20754.19,21186.18,0.18198192,3855.501714
1.67789E+12,04/03/2023 00:00,BTC/EUR,21027.23,21124.08,20950,21094.16,15.87369409,334842.2429
1.6778E+12,03/03/2023 00:00,BTC/EUR,22172.37,22172.37,20754.19,21027.23,1.70361898,35822.38812
1.67772E+12,02/03/2023 00:00,BTC/EUR,22191.21,22285.07,21924.86,22172.37,2.74819932,60934.09216
1.67763E+12,01/03/2023 00:00,BTC/EUR,21915.74,22555.87,21834.35,22191.21,3.23568516,71803.76888
1.67754E+12,28/02/2023 00:00,BTC/EUR,22243.52,22243.52,21801.47,21915.74,10.15142176,222475.9199
1.67746E+12,27/02/2023 00:00,BTC/EUR,22347.85,22581.33,21900.27,22243.52,2.90796218,64683.31491
1.67737E+12,26/02/2023 00:00,BTC/EUR,22005.74,23061.14,21919,22347.85,0.49233916,11002.7217
1.67728E+12,25/02/2023 00:00,BTC/EUR,22027.5,22043.27,21647.19,22005.74,0.25296493,5566.680479
1.6772E+12,24/02/2023 00:00,BTC/EUR,22615.4,22752.18,21768.63,22027.5,2.48414038,54719.40222
1.67711E+12,23/02/2023 00:00,BTC/EUR,22877.23,23167.51,21774.95,22615.4,8.03585417,181734.0564
1.67702E+12,22/02/2023 00:00,BTC/EUR,22998.88,23028.23,22262.86,22877.23,4.73055556,108222.0076
1.67694E+12,21/02/2023 00:00,BTC/EUR,23307.63,23697.34,22775.6,22998.88,10.46581881,240702.1109
1.67685E+12,20/02/2023 00:00,BTC/EUR,22820.88,23571.27,22427.91,23307.63,4.59473886,107092.4733
1.67676E+12,19/02/2023 00:00,BTC/EUR,23166.7,23626,22741.29,22820.88,3.99423931,91152.05598
1.67668E+12,18/02/2023 00:00,BTC/EUR,23015.28,23342.79,22930.44,23166.7,1.08577569,25153.83968
1.67659E+12,17/02/2023 00:00,BTC/EUR,22174.26,23416.42,21966.39,23015.28,10.13972109,233368.52
1.67651E+12,16/02/2023 00:00,BTC/EUR,22818.11,23705.42,22132.56,22174.26,11.55108975,256136.8674
1.67642E+12,15/02/2023 00:00,BTC/EUR,20737.06,22820.88,20635.02,22818.11,27.02752039,616716.9333
1.67633E+12,14/02/2023 00:00,BTC/EUR,20368.2,20784.86,20149.94,20737.06,10.41664055,216010.5001
1.67625E+12,13/02/2023 00:00,BTC/EUR,20486.69,20518.96,19990,20368.2,4.39461585,89510.41456
1.67616E+12,12/02/2023 00:00,BTC/EUR,20514.3,20684.08,20000.01,20486.69,2.40842747,49340.70697
1.67607E+12,11/02/2023 00:00,BTC/EUR,20318.16,20515.46,20288.12,20514.3,0.69079141,14171.10222
1.67599E+12,10/02/2023 00:00,BTC/EUR,20342.45,20495.31,20001.66,20318.16,5.70779852,115971.9636
1.6759E+12,09/02/2023 00:00,BTC/EUR,21456.8,21518.04,20266.61,20342.45,1.64746697,33513.51446
